AAPL,MSFT,GOOG,AMZN,TSLA,META,NVDA,ORCL,IBM,INTC,ADBE,CRM,PYPL,NFLX,UBER,SQ,SHOP,SNOW,PLTR,COIN,BAC,JPM,GS,C,WFC,T,VZ,DIS,NKE,XOM,CVX,BP,BA,RTX,MMM,CAT,GE,GM,F,AMD,QCOM,TXN,MU,AVGO,MSI,ZBRA,TTD,DOCU
125.06999969482422,239.5800018310547,89.69999694824219,85.81999969482422,108.0999984741211,124.73999786376953,14.3149995803833,83.72000122070312,141.5500030517578,26.729999542236328,336.9200134277344,134.77999877929688,74.58000183105469,294.95001220703125,25.360000610351562,64.63999938964844,35.68000030517578,135.5,6.389999866485596,33.599998474121094,33.5099983215332,135.1199951171875,346.2200012207031,45.779998779296875,41.790000915527344,18.739999771118164,40.119998931884766,88.97000122070312,118.75,106.51000213623047,173.99000549316406,34.31999969482422,195.38999938964844,100.80999755859375,102.39966583251953,238.8800048828125,52.943973541259766,33.81999969482422,11.680000305175781,64.0199966430664,107.19999694824219,163.2100067138672,50.369998931884766,55.347999572753906,257.3999938964844,260.20001220703125,44.02000045776367,56.75
126.36000061035156,229.10000610351562,88.70999908447266,85.13999938964844,113.63999938964844,127.37000274658203,14.74899959564209,84.4800033569336,142.60000610351562,27.68000030517578,341.4100036621094,139.58999633789062,77.69000244140625,309.4100036621094,25.90999984741211,66.30000305175781,37.540000915527344,130.44000244140625,6.579999923706055,37.70000076293945,34.13999938964844,136.3800048828125,347.70001220703125,46.959999084472656,42.650001525878906,19.139999389648438,41.130001068115234,91.9800033569336,121.20999908447266,106.81999969482422,172.13999938964844,33.779998779296875,203.63999938964844,100.83999633789062,104.64046478271484,241.36000061035156,56.02553939819336,34.689998626708984,12.010000228881836,64.66000366210938,111.52999877929688,169.1699981689453,54.20000076293945,56.02399826049805,258.0199890136719,262.989990234375,44.310001373291016,56.27000045776367
125.0199966430664,222.30999755859375,86.7699966430664,83.12000274658203,110.33999633789062,126.94000244140625,14.265000343322754,84.30999755859375,141.11000061035156,27.559999465942383,328.44000244140625,136.33999633789062,76.2699966430664,309.70001220703125,25.549999237060547,64.70999908447266,35.95000076293945,121.55999755859375,6.320000171661377,33.529998779296875,34.06999969482422,135.35000610351562,343.760009765625,46.75,42.41999816894531,19.209999084472656,41.70000076293945,91.91999816894531,120.62000274658203,109.20999908447266,175.24000549316406,33.900001525878906,204.99000549316406,100.87999725341797,102.80936431884766,240.27999877929688,56.895450592041016,35.0,12.25,62.33000183105469,109.4000015258789,166.92999267578125,54.709999084472656,55.50199890136719,255.1199951171875,260.05999755859375,42.59000015258789,53.93000030517578
129.6199951171875,224.92999267578125,88.16000366210938,86.08000183105469,113.05999755859375,130.02000427246094,14.859000205993652,85.66000366210938,143.6999969482422,28.729999542236328,332.75,140.50999450683594,76.4800033569336,315.54998779296875,26.399999618530273,68.98999786376953,36.849998474121094,124.05999755859375,6.400000095367432,33.2599983215332,34.40999984741211,137.94000244140625,348.0799865722656,47.310001373291016,42.79999923706055,19.530000686645508,42.189998626708984,93.91999816894531,124.52999877929688,110.52999877929688,176.55999755859375,34.459999084472656,213.0,102.45999908447266,105.95317840576172,248.86000061035156,57.414207458496094,35.90999984741211,12.579999923706055,63.959999084472656,115.33999633789062,175.16000366210938,56.77000045776367,58.84299850463867,263.8399963378906,273.4200134277344,42.290000915527344,54.540000915527344
130.14999389648438,227.1199951171875,88.80000305175781,87.36000061035156,119.7699966430664,129.47000122070312,15.628000259399414,86.41999816894531,143.5500030517578,29.309999465942383,341.9800109863281,147.10000610351562,77.08000183105469,315.1700134277344,27.399999618530273,69.05999755859375,37.189998626708984,134.42999267578125,6.5,38.27000045776367,33.88999938964844,137.3699951171875,353.0,47.540000915527344,42.38999938964844,19.040000915527344,41.369998931884766,94.7699966430664,124.8499984741211,108.47000122070312,175.17999267578125,34.77000045776367,208.57000732421875,99.5999984741211,106.01170349121094,246.6199951171875,57.99680709838867,35.91999816894531,12.6899995803833,67.23999786376953,114.61000061035156,176.67999267578125,56.36000061035156,57.68899917602539,260.6099853515625,279.2900085449219,43.9900016784668,56.5099983215332
130.72999572753906,228.85000610351562,89.23999786376953,89.87000274658203,118.8499984741211,132.99000549316406,15.909000396728516,86.5,144.8000030517578,29.440000534057617,338.70001220703125,147.44000244140625,77.91999816894531,327.5400085449219,28.040000915527344,70.02999877929688,36.5,137.94000244140625,6.699999809265137,43.22999954223633,34.119998931884766,138.60000610351562,357.3599853515625,48.189998626708984,42.36000061035156,19.469999313354492,41.95000076293945,95.55999755859375,125.83999633789062,110.08999633789062,176.0399932861328,34.849998474121094,206.69000244140625,99.91999816894531,107.13211059570312,250.50999450683594,60.07182693481445,37.11000061035156,12.84000015258789,68.05000305175781,116.91000366210938,178.39999389648438,57.209999084472656,57.49300003051758,262.3500061035156,286.92999267578125,44.84000015258789,58.04999923706055
133.49000549316406,235.77000427246094,92.26000213623047,95.08999633789062,123.22000122070312,132.88999938964844,16.000999450683594,88.5999984741211,145.25999450683594,29.850000381469727,342.92999267578125,144.89999389648438,78.54000091552734,327.260009765625,28.350000381469727,71.66999816894531,36.439998626708984,139.7100067138672,6.980000019073486,43.790000915527344,34.380001068115234,139.6300048828125,364.4800109863281,48.709999084472656,42.7400016784668,19.40999984741211,41.18000030517578,96.33000183105469,127.94000244140625,111.37000274658203,175.1999969482422,35.040000915527344,208.02999877929688,99.58999633789062,107.95986938476562,250.72999572753906,62.00319290161133,37.81999969482422,13.220000267028809,69.05999755859375,118.38999938964844,178.8699951171875,58.060001373291016,57.81399917602539,264.3399963378906,299.7900085449219,47.310001373291016,59.599998474121094
133.41000366210938,238.50999450683594,91.91000366210938,95.2699966430664,123.55999755859375,136.7100067138672,16.51099967956543,88.77999877929688,145.5500030517578,30.290000915527344,344.5400085449219,149.60000610351562,79.77999877929688,330.1300048828125,29.030000686645508,71.80000305175781,36.7599983215332,142.13999938964844,7.010000228881836,47.54999923706055,34.470001220703125,139.49000549316406,369.94000244140625,49.09000015258789,42.83000183105469,19.40999984741211,41.810001373291016,99.80999755859375,127.88999938964844,113.22000122070312,177.0800018310547,35.310001373291016,214.32000732421875,100.68000030517578,108.15217590332031,255.07000732421875,62.93695068359375,38.33000183105469,13.430000305175781,70.80000305175781,121.58999633789062,178.1300048828125,57.27000045776367,58.194000244140625,264.7099914550781,293.0,46.70000076293945,58.70000076293945
134.75999450683594,239.22999572753906,92.80000305175781,98.12000274658203,122.4000015258789,136.97999572753906,16.89900016784668,89.19999694824219,145.88999938964844,30.110000610351562,344.3800048828125,149.50999450683594,79.4800033569336,332.82000732421875,29.440000534057617,71.6500015258789,38.88999938964844,140.8699951171875,6.960000038146973,49.97999954223633,35.22999954223633,143.00999450683594,374.0,49.91999816894531,44.220001220703125,19.549999237060547,41.86000061035156,99.4000015258789,128.85000610351562,113.1500015258789,177.55999755859375,35.560001373291016,214.1300048828125,98.68000030517578,108.28594970703125,258.4599914550781,64.00638580322266,36.5099983215332,12.720000267028809,71.0,120.23999786376953,179.00999450683594,56.93000030517578,57.900001525878906,266.010009765625,293.70001220703125,47.029998779296875,58.34000015258789
135.94000244140625,240.35000610351562,92.16000366210938,96.05000305175781,131.49000549316406,135.36000061035156,17.70199966430664,88.5999984741211,145.19000244140625,29.600000381469727,344.3800048828125,148.47000122070312,80.18000030517578,326.2200012207031,29.200000762939453,75.0999984741211,39.97999954223633,145.72000122070312,7.070000171661377,54.13999938964844,34.52000045776367,140.8000030517578,349.9200134277344,50.310001373291016,44.119998931884766,19.329999923706055,40.849998474121094,99.91000366210938,128.13999938964844,112.93000030517578,180.49000549316406,35.689998626708984,211.41000366210938,98.43000030517578,105.85284423828125,256.260009765625,64.23783111572266,36.61000061035156,12.670000076293945,71.58999633789062,120.27999877929688,175.39999389648438,56.849998474121094,57.92399978637695,263.2900085449219,293.5799865722656,47.06999969482422,59.720001220703125
